"id","title","author_name","image_url","text_reviews_count"
"128029","A Thousand Splendid Suns","Khaled Hosseini","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029._SX98_.jpg","54619"
"2728527","The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351979318l/2728527._SX98_.jpg","54299"
"34273236","Little Fires Everywhere","Celeste Ng","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522684533l/34273236._SX98_.jpg","54057"
"19501","Eat, Pray, Love","Elizabeth Gilbert","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414l/19501._SX98_.jpg","53948"
"40097951","The Silent Patient","Alex Michaelides","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582759969l/40097951._SX98_.jpg","52934"
"5126075","Thirteen Reasons Why","Jay Asher","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327927948l/5126075._SX98_.jpg","52090"
"7445","The Glass Castle","Jeannette Walls","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523542886l/7445._SX98_.jpg","52081"
"16068905","Fangirl","Rainbow Rowell","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270l/16068905._SX98_.jpg","51463"
"38744839","Becoming","Michelle Obama","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527182226l/38744839._SX98_.jpg","50628"
"16143347","We Were Liars","E. Lockhart","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402749479l/16143347._SX98_.jpg","50331"
"5907","The Hobbit, or There and Back Again","J.R.R. Tolkien","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SX98_.jpg","50217"
"4381","Fahrenheit 451","Ray Bradbury","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740l/4381._SX98_.jpg","50136"
